5.53466E+13,2, eduroam, 1c:aa:07:7b:28:00,-84
5.53466E+13,2, TUDelft-Event, 1c:aa:07:7b:28:03,-85
5.53466E+13,2, CrowdGuest, 6e:a0:63:eb:9f:71,-96
5.53466E+13,2, RFID-AP, 00:22:f7:21:d0:38,-89
5.53784E+13,11, eduroam, 1c:aa:07:7b:28:00,-89
5.53784E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-85
5.53784E+13,11, RFID-AP, 00:22:f7:21:d0:38,-88
5.53784E+13,11, Router_Joost, 48:f8:b3:40:f1:a9,-100
5.53833E+13,11, eduroam, 1c:aa:07:7b:28:00,-87
5.53833E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-85
5.53833E+13,11, RFID-AP, 00:22:f7:21:d0:38,-87
5.53833E+13,11, Router_Joost, 48:f8:b3:40:f1:a9,-100
5.53833E+13,11, tudelft-dastud, 1c:aa:07:7b:28:02,-84
5.53833E+13,11, TP-LINK_2.4GHz_D38141, c4:6e:1f:d3:81:41,-95
5.53873E+13,11, eduroam, 1c:aa:07:7b:28:00,-85
5.53873E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-85
5.53873E+13,11, RFID-AP, 00:22:f7:21:d0:38,-87
5.53873E+13,11, tudelft-dastud, 1c:aa:07:7b:28:02,-84
5.53873E+13,11, TP-LINK_2.4GHz_D38141, c4:6e:1f:d3:81:41,-95
5.53873E+13,11, my_shared_connection, 84:a6:c8:77:c4:c8,-94
5.53909E+13,11, eduroam, 1c:aa:07:7b:28:00,-85
5.53909E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-85
5.53909E+13,11, RFID-AP, 00:22:f7:21:d0:38,-87
5.53909E+13,11, my_shared_connection, 84:a6:c8:77:c4:c8,-94
5.53909E+13,11, CrowdGuest, 6e:a0:63:eb:9f:71,-89
5.53943E+13,11, eduroam, 1c:aa:07:7b:28:00,-83
5.53943E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-85
5.53943E+13,11, RFID-AP, 00:22:f7:21:d0:38,-88
5.53943E+13,11, CrowdGuest, 6e:a0:63:eb:9f:71,-89
5.53943E+13,11, TUDelft-Event, 1c:aa:07:b0:7d:53,-89
5.53943E+13,11, Vloat 2.4, c4:6e:1f:0c:b9:44,-93
5.53943E+13,11, ANKIT, 64:d1:a3:05:c1:68,-96
5.53943E+13,11, TP-LINK_YM, 14:75:90:28:4d:70,-96
5.53975E+13,11, eduroam, 1c:aa:07:7b:28:00,-87
5.53975E+13,11, RFID-AP, 00:22:f7:21:d0:38,-85
5.53975E+13,11, CrowdGuest, 6e:a0:63:eb:9f:71,-89
5.53975E+13,11, TUDelft-Event, 1c:aa:07:b0:7d:53,-89
5.53975E+13,11, Vloat 2.4, c4:6e:1f:0c:b9:44,-93
5.53975E+13,11, ANKIT, 64:d1:a3:05:c1:68,-101
5.53975E+13,11, TP-LINK_YM, 14:75:90:28:4d:70,-96
5.53975E+13,11, Non's wifi, e4:f4:c6:d7:e0:7b,-96
5.53975E+13,11, my_shared_connection, 84:a6:c8:77:c4:c8,-93
5.54011E+13,11, eduroam, 1c:aa:07:7b:28:00,-87
