5.3673E+13,3, RFID-AP, 00:22:f7:21:d0:38,-86
5.3673E+13,3, TUDelft-Event, 1c:aa:07:b0:7a:b3,-85
5.3673E+13,3, eduroam, 1c:aa:07:b0:7a:b0,-83
5.3673E+13,3, SLDE-䋢-2, 5c:96:9d:65:76:8d,-90
5.3673E+13,3, autosound, 80:ea:96:eb:1e:fc,-74
5.3673E+13,3, hotspot_mike, 60:36:dd:cb:c1:4f,-68
5.3673E+13,3, TUDelft-Event, 1c:aa:07:6e:31:a3,-76
5.3673E+13,3, NaoNet3, 00:0c:f6:a6:3c:e8,-92
5.3673E+13,3, TUDelft-Event, 1c:aa:07:7b:39:13,-67
5.3673E+13,3, tudelft-dastud, 1c:aa:07:b0:7a:b2,-86
5.3673E+13,3, tudelft-dastud, 1c:aa:07:6e:31:a2,-77
5.3673E+13,3, TUvisitor, 1c:aa:07:b0:7a:b1,-85
5.3673E+13,3, eduroam, 1c:aa:07:7b:39:10,-76
5.3673E+13,3, TUvisitor, 1c:aa:07:6e:31:a1,-77
5.3673E+13,3, TUDelft-Event, 1c:aa:07:7b:37:03,-78
5.3673E+13,3, asus_24g, 50:46:5d:6e:1a:08,-95
5.3673E+13,3, Kevin is een klootzak, 7e:2f:68:79:a1:7e,-90
5.3673E+13,3, tudelft-dastud, 1c:aa:07:7b:39:12,-68
5.3673E+13,3, BALPOL162, 00:16:0a:18:95:0c,-97
5.3673E+13,3, TP Link, c4:6e:1f:f4:d9:ba,-97
5.3673E+13,3, TP-LINK_2.4GHz_D38141, c4:6e:1f:d3:81:41,-97
5.36819E+13,3, RFID-AP, 00:22:f7:21:d0:38,-86
5.36819E+13,3, eduroam, 1c:aa:07:b0:7a:b0,-83
5.36819E+13,3, SLDE-䋢-2, 5c:96:9d:65:76:8d,-94
5.36819E+13,3, autosound, 80:ea:96:eb:1e:fc,-71
5.36819E+13,3, hotspot_mike, 60:36:dd:cb:c1:4f,-71
5.36819E+13,3, TUDelft-Event, 1c:aa:07:6e:31:a3,-67
5.36819E+13,3, NaoNet3, 00:0c:f6:a6:3c:e8,-89
5.36819E+13,3, TUDelft-Event, 1c:aa:07:7b:39:13,-69
5.36819E+13,3, tudelft-dastud, 1c:aa:07:6e:31:a2,-69
5.36819E+13,3, TUvisitor, 1c:aa:07:6e:31:a1,-67
