5.42295E+13,4, SLDE-䋢-2, 5c:96:9d:65:76:8d,-81
5.42295E+13,4, autosound, 80:ea:96:eb:1e:fc,-65
5.42295E+13,4, hotspot_mike, 60:36:dd:cb:c1:4f,-70
5.42295E+13,4, TUDelft-Event, 1c:aa:07:7b:39:13,-73
5.42295E+13,4, eduroam, 1c:aa:07:6e:31:a0,-72
5.42295E+13,4, NaoNet3, 00:0c:f6:a6:3c:e8,-85
5.42295E+13,4, TUDelft-Event, 1c:aa:07:6e:31:a3,-73
5.42295E+13,4, tudelft-dastud, 1c:aa:07:6e:31:a2,-75
5.42295E+13,4, tudelft-dastud, 1c:aa:07:b0:7a:b2,-76
5.42295E+13,4, sape, 20:c9:d0:18:43:f3,-96
5.42295E+13,4, TUDelft-Event, 24:01:c7:76:2a:33,-85
5.42295E+13,4, TUvisitor, 1c:aa:07:6e:31:a1,-74
5.42295E+13,4, TUDelft-Event, 1c:aa:07:b0:7a:b3,-75
5.42295E+13,4, eduroam, 1c:aa:07:b0:7a:b0,-75
5.42295E+13,4, TUvisitor, 1c:aa:07:b0:7a:b1,-75
5.42295E+13,4, RFID-AP, 00:22:f7:21:d0:38,-85
5.42295E+13,4, TUvisitor, 1c:aa:07:7b:39:11,-74
5.42295E+13,4, my_shared_connection, 84:a6:c8:77:c4:c8,-92
5.42337E+13,4, SLDE-䋢-2, 5c:96:9d:65:76:8d,-87
5.42337E+13,4, autosound, 80:ea:96:eb:1e:fc,-71
5.42337E+13,4, hotspot_mike, 60:36:dd:cb:c1:4f,-65
5.42337E+13,4, TUDelft-Event, 1c:aa:07:7b:39:13,-73
5.42337E+13,4, eduroam, 1c:aa:07:6e:31:a0,-72
5.42337E+13,4, NaoNet3, 00:0c:f6:a6:3c:e8,-85
5.42337E+13,4, TUDelft-Event, 1c:aa:07:6e:31:a3,-73
5.42337E+13,4, tudelft-dastud, 1c:aa:07:6e:31:a2,-74
5.42337E+13,4, sape, 20:c9:d0:18:43:f3,-96
5.42337E+13,4, TUDelft-Event, 24:01:c7:76:2a:33,-85
5.42337E+13,4, TUvisitor, 1c:aa:07:6e:31:a1,-73
5.42337E+13,4, TUDelft-Event, 1c:aa:07:b0:7a:b3,-77
5.42337E+13,4, eduroam, 1c:aa:07:b0:7a:b0,-77
5.42337E+13,4, TUvisitor, 1c:aa:07:b0:7a:b1,-77
5.42337E+13,4, RFID-AP, 00:22:f7:21:d0:38,-85
5.42337E+13,4, TUvisitor, 1c:aa:07:7b:39:11,-75
5.42337E+13,4, my_shared_connection, 84:a6:c8:77:c4:c8,-92
5.42337E+13,4, tudelft-dastud, 1c:aa:07:7b:39:12,-73
5.42337E+13,4, eduroam, 1c:aa:07:7b:39:10,-74
5.42377E+13,4, SLDE-䋢-2, 5c:96:9d:65:76:8d,-82
5.42377E+13,4, autosound, 80:ea:96:eb:1e:fc,-73
5.42377E+13,4, hotspot_mike, 60:36:dd:cb:c1:4f,-70
5.42377E+13,4, TUDelft-Event, 1c:aa:07:7b:39:13,-78
5.42377E+13,4, eduroam, 1c:aa:07:6e:31:a0,-73
5.42377E+13,4, NaoNet3, 00:0c:f6:a6:3c:e8,-90
5.42377E+13,4, TUDelft-Event, 1c:aa:07:6e:31:a3,-75
5.42377E+13,4, tudelft-dastud, 1c:aa:07:6e:31:a2,-75
5.42377E+13,4, TUvisitor, 1c:aa:07:6e:31:a1,-74
5.42377E+13,4, TUDelft-Event, 1c:aa:07:b0:7a:b3,-77
5.42377E+13,4, eduroam, 1c:aa:07:b0:7a:b0,-77
5.42377E+13,4, TUvisitor, 1c:aa:07:b0:7a:b1,-77
5.42377E+13,4, RFID-AP, 00:22:f7:21:d0:38,-85
5.42377E+13,4, TUvisitor, 1c:aa:07:7b:39:11,-75
5.42377E+13,4, tudelft-dastud, 1c:aa:07:7b:39:12,-73
5.42377E+13,4, eduroam, 1c:aa:07:7b:39:10,-74
5.42377E+13,4, tudelft-dastud, 1c:aa:07:7b:28:02,-87
5.42415E+13,4, SLDE-䋢-2, 5c:96:9d:65:76:8d,-93
5.42415E+13,4, autosound, 80:ea:96:eb:1e:fc,-71
5.42415E+13,4, hotspot_mike, 60:36:dd:cb:c1:4f,-74
5.42415E+13,4, TUDelft-Event, 1c:aa:07:7b:39:13,-73
5.42415E+13,4, eduroam, 1c:aa:07:6e:31:a0,-74
5.42415E+13,4, NaoNet3, 00:0c:f6:a6:3c:e8,-82
5.42415E+13,4, TUDelft-Event, 1c:aa:07:6e:31:a3,-78
5.42415E+13,4, tudelft-dastud, 1c:aa:07:6e:31:a2,-77
5.42415E+13,4, TUvisitor, 1c:aa:07:6e:31:a1,-78
5.42415E+13,4, RFID-AP, 00:22:f7:21:d0:38,-85
5.42415E+13,4, TUvisitor, 1c:aa:07:7b:39:11,-74
5.42415E+13,4, tudelft-dastud, 1c:aa:07:7b:39:12,-74
5.42415E+13,4, eduroam, 1c:aa:07:7b:39:10,-74
5.42415E+13,4, tudelft-dastud, 1c:aa:07:7b:28:02,-87
5.42415E+13,4, TUDelft-Event, 1c:aa:07:7b:28:03,-88
5.42458E+13,4, SLDE-䋢-2, 5c:96:9d:65:76:8d,-85
5.42458E+13,4, autosound, 80:ea:96:eb:1e:fc,-73
5.42458E+13,4, hotspot_mike, 60:36:dd:cb:c1:4f,-63
5.42458E+13,4, TUDelft-Event, 1c:aa:07:7b:39:13,-71
5.42458E+13,4, eduroam, 1c:aa:07:6e:31:a0,-79
5.42458E+13,4, NaoNet3, 00:0c:f6:a6:3c:e8,-90
5.42458E+13,4, TUDelft-Event, 1c:aa:07:6e:31:a3,-79
5.42458E+13,4, tudelft-dastud, 1c:aa:07:6e:31:a2,-80
5.42458E+13,4, TUvisitor, 1c:aa:07:6e:31:a1,-79
5.42458E+13,4, TUvisitor, 1c:aa:07:7b:39:11,-74
5.42458E+13,4, tudelft-dastud, 1c:aa:07:7b:39:12,-74
5.42458E+13,4, eduroam, 1c:aa:07:7b:39:10,-74
