5.56605E+13,11, RFID-AP, 00:22:f7:21:d0:38,-79
5.56605E+13,11, Router_Joost, 48:f8:b3:40:f1:a9,-87
5.56605E+13,11, Its_a_TRAP, 8c:21:0a:9a:98:f8,-93
5.56605E+13,11,21888038, c8:d3:a3:16:92:e6,-93
5.56605E+13,11, Almost best internet EUW, e8:94:f6:d4:3c:ad,-92
5.56605E+13,11, my_shared_connection, 84:a6:c8:77:c4:c8,-84
5.56636E+13,11, RFID-AP, 00:22:f7:21:d0:38,-79
5.56636E+13,11, my_shared_connection, 84:a6:c8:77:c4:c8,-85
5.56636E+13,11, CrowdGuest, 6e:a0:63:eb:9f:71,-92
5.56665E+13,11, RFID-AP, 00:22:f7:21:d0:38,-78
5.56665E+13,11, my_shared_connection, 84:a6:c8:77:c4:c8,-86
5.56665E+13,11, CrowdGuest, 6e:a0:63:eb:9f:71,-92
5.56687E+13,11, RFID-AP, 00:22:f7:21:d0:38,-78
5.56687E+13,11, my_shared_connection, 84:a6:c8:77:c4:c8,-86
5.56687E+13,11, CrowdGuest, 6e:a0:63:eb:9f:71,-92
5.56727E+13,11, RFID-AP, 00:22:f7:21:d0:38,-79
5.56727E+13,11, my_shared_connection, 84:a6:c8:77:c4:c8,-86
5.56727E+13,11, erwan, 9c:d6:43:d4:d8:da,-91
5.56754E+13,11, RFID-AP, 00:22:f7:21:d0:38,-83
5.56754E+13,11, my_shared_connection, 84:a6:c8:77:c4:c8,-87
5.56754E+13,11, erwan, 9c:d6:43:d4:d8:da,-91
5.56783E+13,11, RFID-AP, 00:22:f7:21:d0:38,-76
5.56783E+13,11, my_shared_connection, 84:a6:c8:77:c4:c8,-87
5.56783E+13,11, erwan, 9c:d6:43:d4:d8:da,-91
5.56783E+13,11, CrowdGuest, 6e:a0:63:eb:9f:71,-93
5.5681E+13,11, RFID-AP, 00:22:f7:21:d0:38,-76
5.5681E+13,11, my_shared_connection, 84:a6:c8:77:c4:c8,-87
5.5681E+13,11, CrowdGuest, 6e:a0:63:eb:9f:71,-93
5.5681E+13,11, TP-LINK_2.4GHz_D38141, c4:6e:1f:d3:81:41,-87
5.5681E+13,11, yanyan, 1c:bd:b9:c7:f0:5a,-88
5.5681E+13,11, Almost best internet EUW, e8:94:f6:d4:3c:ad,-90
5.5681E+13,11, Angus, 2e:55:f9:60:43:84,-91
5.5681E+13,11, Router_Joost, 48:f8:b3:40:f1:a9,-91
5.5681E+13,11, Leon, e4:d3:32:2f:a3:80,-93
5.5684E+13,11, RFID-AP, 00:22:f7:21:d0:38,-75
5.5684E+13,11, CrowdGuest, 6e:a0:63:eb:9f:71,-93
5.5684E+13,11, TP-LINK_2.4GHz_D38141, c4:6e:1f:d3:81:41,-87
5.5684E+13,11, yanyan, 1c:bd:b9:c7:f0:5a,-88
5.5684E+13,11, Almost best internet EUW, e8:94:f6:d4:3c:ad,-90
5.5684E+13,11, Angus, 2e:55:f9:60:43:84,-91
5.5684E+13,11, Router_Joost, 48:f8:b3:40:f1:a9,-91
5.5684E+13,11, Leon, e4:d3:32:2f:a3:80,-93
5.5684E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-75
5.5684E+13,11, TUDelft-Event, 1c:aa:07:b0:7d:53,-80
5.56867E+13,11, RFID-AP, 00:22:f7:21:d0:38,-79
5.56867E+13,11, CrowdGuest, 6e:a0:63:eb:9f:71,-100
5.56867E+13,11, TP-LINK_2.4GHz_D38141, c4:6e:1f:d3:81:41,-87
5.56867E+13,11, yanyan, 1c:bd:b9:c7:f0:5a,-88
5.56867E+13,11, Almost best internet EUW, e8:94:f6:d4:3c:ad,-90
5.56867E+13,11, Angus, 2e:55:f9:60:43:84,-94
5.56867E+13,11, Router_Joost, 48:f8:b3:40:f1:a9,-92
5.56867E+13,11, Leon, e4:d3:32:2f:a3:80,-93
5.56867E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-74
5.56867E+13,11, TUDelft-Event, 1c:aa:07:b0:7d:53,-78
5.56898E+13,11, RFID-AP, 00:22:f7:21:d0:38,-75
5.56898E+13,11, CrowdGuest, 6e:a0:63:eb:9f:71,-100
5.56898E+13,11, Angus, 2e:55:f9:60:43:84,-94
5.56898E+13,11, Router_Joost, 48:f8:b3:40:f1:a9,-92
5.56898E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-75
5.56898E+13,11, TUDelft-Event, 1c:aa:07:b0:7d:53,-80
5.56898E+13,11, tudelft-dastud, 1c:aa:07:7b:28:02,-75
5.56898E+13,11, TUDelft-Event, 1c:aa:07:6f:28:53,-83
5.56898E+13,11, my_shared_connection, 84:a6:c8:77:c4:c8,-85
5.56924E+13,11, RFID-AP, 00:22:f7:21:d0:38,-79
5.56924E+13,11, CrowdGuest, 6e:a0:63:eb:9f:71,-86
5.56924E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-77
5.56924E+13,11, TUDelft-Event, 1c:aa:07:b0:7d:53,-80
5.56924E+13,11, tudelft-dastud, 1c:aa:07:7b:28:02,-75
5.56924E+13,11, TUDelft-Event, 1c:aa:07:6f:28:53,-83
5.56924E+13,11, my_shared_connection, 84:a6:c8:77:c4:c8,-80
5.56924E+13,11, ANKIT, 64:d1:a3:05:c1:68,-88
5.56924E+13,11, TP-LINK_YM, 14:75:90:28:4d:70,-92
5.56953E+13,11, RFID-AP, 00:22:f7:21:d0:38,-79
