13951025438802, 18, RFID-AP, 00:22:f7:21:d0:38, -73
13951025438802, 18, TUvisitor, 1c:aa:07:7b:28:01, -46
13951025438802, 18, netgostar, ac:7b:a1:de:ba:b6, -76
13951025438802, 18, CrowdGuest, 6e:a0:63:eb:9f:71, -79
13951025438802, 18, , 6c:70:9f:eb:63:a0, -72
13951025438802, 18, eduroam, 1c:aa:07:7b:28:00, -46
13951025438802, 18, tudelft-dastud, 1c:aa:07:7b:28:02, -47
13951025438802, 18, eduroam, 1c:aa:07:7b:28:0f, -62
13951025438802, 18, tudelft-dastud, 1c:aa:07:7b:37:d2, -69
13951025438802, 18, TUvisitor, 1c:aa:07:7b:37:d1, -69
13951025438802, 18, eduroam, 1c:aa:07:7b:37:d0, -73
13951025438802, 18, TUvisitor, 1c:aa:07:7b:28:0e, -61
13951025438802, 18, NaoNet, 00:0c:f6:6c:cf:94, -84
13951025438802, 18, , 6c:70:9f:eb:63:a1, -90
13951025438802, 18, CrowdGuest, 6e:a1:63:eb:9f:70, -91
13951025438802, 18, JLINK3G_03_00012, 00:18:d7:d2:c2:78, -88
13965871151684, 18, RFID-AP, 00:22:f7:21:d0:38, -73
13965871151684, 18, TUvisitor, 1c:aa:07:7b:28:01, -35
13965871151684, 18, netgostar, ac:7b:a1:de:ba:b6, -78
13965871151684, 18, , 6c:70:9f:eb:63:a0, -72
13965871151684, 18, eduroam, 1c:aa:07:7b:28:00, -35
13965871151684, 18, tudelft-dastud, 1c:aa:07:7b:28:02, -36
13965871151684, 18, eduroam, 1c:aa:07:7b:28:0f, -56
13965871151684, 18, tudelft-dastud, 1c:aa:07:7b:37:d2, -69
13965871151684, 18, TUvisitor, 1c:aa:07:7b:37:d1, -69
13965871151684, 18, NaoNet, 00:0c:f6:6c:cf:94, -84
13965871151684, 18, , 6c:70:9f:eb:63:a1, -90
13965871151684, 18, CrowdGuest, 6e:a1:63:eb:9f:70, -91
13965871151684, 18, JLINK3G_03_00012, 00:18:d7:d2:c2:78, -88
13971356053062, 18, TUvisitor, 1c:aa:07:7b:28:01, -35
13971356053062, 18, netgostar, ac:7b:a1:de:ba:b6, -78
13971356053062, 18, eduroam, 1c:aa:07:7b:28:00, -35
13971356053062, 18, tudelft-dastud, 1c:aa:07:7b:28:02, -36
13971356053062, 18, eduroam, 1c:aa:07:7b:28:0f, -56
13978519378690, 18, TUvisitor, 1c:aa:07:7b:28:01, -51
13978519378690, 18, netgostar, ac:7b:a1:de:ba:b6, -83
13978519378690, 18, eduroam, 1c:aa:07:7b:28:00, -52
13978519378690, 18, tudelft-dastud, 1c:aa:07:7b:28:02, -52
13978519378690, 18, eduroam, 1c:aa:07:7b:28:0f, -56
13978519378690, 18, eduroam, 1c:aa:07:7b:37:d0, -73
13978519378690, 18, CrowdGuest, 6e:a0:63:eb:9f:71, -83
13978519378690, 18, RFID-AP, 00:22:f7:21:d0:38, -84
13978519378690, 18, , 6c:70:9f:eb:63:a0, -84
13978519378690, 18, TUvisitor, 1c:aa:07:7b:28:0e, -61
13985312830695, 18, TUvisitor, 1c:aa:07:7b:28:01, -54
13985312830695, 18, netgostar, ac:7b:a1:de:ba:b6, -83
13985312830695, 18, eduroam, 1c:aa:07:7b:28:00, -53
13985312830695, 18, tudelft-dastud, 1c:aa:07:7b:28:02, -54
13985312830695, 18, eduroam, 1c:aa:07:7b:28:0f, -60
13985312830695, 18, eduroam, 1c:aa:07:7b:37:d0, -73
13985312830695, 18, CrowdGuest, 6e:a0:63:eb:9f:71, -83
13985312830695, 18, RFID-AP, 00:22:f7:21:d0:38, -76
13985312830695, 18, , 6c:70:9f:eb:63:a0, -84
13985312830695, 18, TUvisitor, 1c:aa:07:7b:28:0e, -61
13985312830695, 18, tudelft-dastud, 1c:aa:07:7b:37:d2, -79
13985312830695, 18, TUvisitor, 1c:aa:07:7b:37:d1, -79
13992062979739, 18, TUvisitor, 1c:aa:07:7b:28:01, -52
13992062979739, 18, netgostar, ac:7b:a1:de:ba:b6, -81
13992062979739, 18, eduroam, 1c:aa:07:7b:28:00, -52
13992062979739, 18, tudelft-dastud, 1c:aa:07:7b:28:02, -53
13992062979739, 18, eduroam, 1c:aa:07:7b:28:0f, -60
13992062979739, 18, eduroam, 1c:aa:07:7b:37:d0, -77
13992062979739, 18, RFID-AP, 00:22:f7:21:d0:38, -84
13992062979739, 18, , 6c:70:9f:eb:63:a0, -85
13992062979739, 18, TUvisitor, 1c:aa:07:7b:28:0e, -67
13992062979739, 18, tudelft-dastud, 1c:aa:07:7b:37:d2, -77
13992062979739, 18, TUvisitor, 1c:aa:07:7b:37:d1, -79
13999078716700, 18, TUvisitor, 1c:aa:07:7b:28:01, -50
13999078716700, 18, netgostar, ac:7b:a1:de:ba:b6, -81
13999078716700, 18, eduroam, 1c:aa:07:7b:28:00, -52
13999078716700, 18, tudelft-dastud, 1c:aa:07:7b:28:02, -53
13999078716700, 18, eduroam, 1c:aa:07:7b:37:d0, -77
13999078716700, 18, RFID-AP, 00:22:f7:21:d0:38, -83
13999078716700, 18, , 6c:70:9f:eb:63:a0, -82
13999078716700, 18, TUvisitor, 1c:aa:07:7b:28:0e, -67
13999078716700, 18, tudelft-dastud, 1c:aa:07:7b:37:d2, -77
13999078716700, 18, TUvisitor, 1c:aa:07:7b:37:d1, -83
13999078716700, 18, tudelft-dastud, 1c:aa:07:7b:28:0d, -65
13999078716700, 18, CrowdGuest, 6e:a0:63:eb:9f:71, -81
14006253688705, 18, TUvisitor, 1c:aa:07:7b:28:01, -52
14006253688705, 18, netgostar, ac:7b:a1:de:ba:b6, -84
14006253688705, 18, eduroam, 1c:aa:07:7b:28:00, -52
14006253688705, 18, tudelft-dastud, 1c:aa:07:7b:28:02, -52
14006253688705, 18, RFID-AP, 00:22:f7:21:d0:38, -83
14006253688705, 18, , 6c:70:9f:eb:63:a0, -86
14006253688705, 18, TUvisitor, 1c:aa:07:7b:37:d1, -82
14006253688705, 18, tudelft-dastud, 1c:aa:07:7b:28:0d, -59
14006253688705, 18, CrowdGuest, 6e:a0:63:eb:9f:71, -81
14006253688705, 18, eduroam, 1c:aa:07:7b:28:0f, -59
13659106807080, 18, RFID-AP, 00:22:f7:21:d0:38, -73
13659106807080, 18, TUvisitor, 1c:aa:07:7b:28:01, -30
13659106807080, 18, netgostar, ac:7b:a1:de:ba:b6, -74
13659106807080, 18, CrowdGuest, 6e:a0:63:eb:9f:71, -89
13659106807080, 18, , 6c:70:9f:eb:63:a0, -80
13659106807080, 18, , 6c:70:9f:eb:63:a1, -85
13659106807080, 18, CrowdGuest, 6e:a1:63:eb:9f:70, -85
13659106807080, 18, tudelft-dastud, 1c:aa:07:7b:28:0d, -56
13659106807080, 18, TUvisitor, 1c:aa:07:7b:37:d1, -78
13659106807080, 18, tudelft-dastud, 1c:aa:07:b0:7d:52, -78
13659106807080, 18, JLINK3G_03_00012, 00:18:d7:d2:c2:78, -91
13666386517875, 18, RFID-AP, 00:22:f7:21:d0:38, -69
13666386517875, 18, TUvisitor, 1c:aa:07:7b:28:01, -36
13666386517875, 18, netgostar, ac:7b:a1:de:ba:b6, -70
13666386517875, 18, CrowdGuest, 6e:a0:63:eb:9f:71, -72
13666386517875, 18, , 6c:70:9f:eb:63:a0, -72
13666386517875, 18, , 6c:70:9f:eb:63:a1, -84
13666386517875, 18, CrowdGuest, 6e:a1:63:eb:9f:70, -84
13666386517875, 18, tudelft-dastud, 1c:aa:07:7b:28:0d, -56
13666386517875, 18, TUvisitor, 1c:aa:07:7b:37:d1, -73
13666386517875, 18, tudelft-dastud, 1c:aa:07:b0:7d:52, -78
13666386517875, 18, JLINK3G_03_00012, 00:18:d7:d2:c2:78, -86
13666386517875, 18, eduroam, 1c:aa:07:7b:28:00, -36
13666386517875, 18, tudelft-dastud, 1c:aa:07:7b:28:02, -36
13666386517875, 18, eduroam, 1c:aa:07:7b:28:0f, -57
13666386517875, 18, eduroam, 1c:aa:07:b0:7d:50, -76
13670701310420, 18, RFID-AP, 00:22:f7:21:d0:38, -69
13670701310420, 18, TUvisitor, 1c:aa:07:7b:28:01, -36
