46645833366317, 3, hotspot_mike, 60:36:dd:cb:c1:4f, -58
46645833366317, 3, autosound, 80:ea:96:eb:1e:fc, -69
46645833366317, 3, SLDE-™-2, 5c:96:9d:65:76:8d, -77
46645833366317, 3, autosound, 80:ea:96:eb:1e:fd, -79
46645833366317, 3, TUvisitor, 1c:aa:07:7b:39:11, -64
46645833366317, 3, TRIBLER, e0:3f:49:09:d9:98, -79
46645833366317, 3, NaoNet3, 00:0c:f6:a6:3c:e8, -79
46645833366317, 3, eduroam, 1c:aa:07:7b:39:10, -64
46645833366317, 3, tudelft-dastud, 1c:aa:07:b0:7a:b2, -74
46645833366317, 3, tudelft-dastud, 1c:aa:07:7b:39:12, -64
46645833366317, 3, tudelft-dastud, 1c:aa:07:6e:31:a2, -66
46645833366317, 3, eduroam, 1c:aa:07:6e:31:a0, -67
46645833366317, 3, eduroam, 1c:aa:07:b0:7a:b0, -73
46645833366317, 3, TUvisitor, 1c:aa:07:6e:31:a1, -66
46645833366317, 3, RFID-AP, 00:22:f7:21:d0:38, -80
46645833366317, 3, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -88
46645833366317, 3, TUvisitor, 1c:aa:07:b0:7a:b1, -74
46645833366317, 3, eduroam, 1c:aa:07:6e:31:af, -73
46645833366317, 3, tudelft-dastud, 1c:aa:07:6e:31:ad, -70
46645833366317, 3, TUvisitor, 1c:aa:07:7b:39:1e, -75
46645833366317, 3, TUvisitor, 24:01:c7:76:2a:31, -79
46650927643194, 3, hotspot_mike, 60:36:dd:cb:c1:4f, -59
46650927643194, 3, autosound, 80:ea:96:eb:1e:fc, -60
46650927643194, 3, SLDE-™-2, 5c:96:9d:65:76:8d, -78
46650927643194, 3, autosound, 80:ea:96:eb:1e:fd, -81
46650927643194, 3, TUvisitor, 1c:aa:07:7b:39:11, -63
46650927643194, 3, TRIBLER, e0:3f:49:09:d9:98, -79
46650927643194, 3, NaoNet3, 00:0c:f6:a6:3c:e8, -80
46650927643194, 3, eduroam, 1c:aa:07:7b:39:10, -63
