5.45398E+13,4, SLDE-䋢-2, 5c:96:9d:65:76:8d,-84
5.45398E+13,4, autosound, 80:ea:96:eb:1e:fc,-73
5.45398E+13,4, hotspot_mike, 60:36:dd:cb:c1:4f,-66
5.45398E+13,4, TUDelft-Event, 1c:aa:07:7b:39:13,-71
5.45398E+13,4, TUDelft-Event, 1c:aa:07:b0:7a:b3,-78
5.45398E+13,4, RFID-AP, 00:22:f7:21:d0:38,-85
5.45398E+13,4, eduroam, 1c:aa:07:b0:7a:b0,-73
5.45398E+13,4, sape, 20:c9:d0:18:43:f3,-92
5.45398E+13,4, tudelft-dastud, 1c:aa:07:6e:31:a2,-79
5.45398E+13,4, TUvisitor, 1c:aa:07:6e:31:a1,-79
5.45398E+13,4, TUDelft-Event, 1c:aa:07:6e:31:a3,-80
5.45398E+13,4, NaoNet3, 00:0c:f6:a6:3c:e8,-87
5.45398E+13,4, eduroam, 1c:aa:07:6e:31:a0,-79
5.45398E+13,4, mfold-linksys, 00:25:9c:ca:87:ee,-95
5.45398E+13,4, TUvisitor, 1c:aa:07:b0:80:c1,-92
5.45398E+13,4, TUvisitor, 1c:aa:07:7b:28:01,-84
5.45398E+13,4, my_shared_connection, 84:a6:c8:77:c4:c8,-94
5.45398E+13,4, eduroam, 1c:aa:07:7b:39:10,-73
5.45434E+13,4, SLDE-䋢-2, 5c:96:9d:65:76:8d,-77
5.45434E+13,4, autosound, 80:ea:96:eb:1e:fc,-67
5.45434E+13,4, hotspot_mike, 60:36:dd:cb:c1:4f,-66
5.45434E+13,4, TUDelft-Event, 1c:aa:07:7b:39:13,-78
5.45434E+13,4, TUDelft-Event, 1c:aa:07:b0:7a:b3,-77
5.45434E+13,4, RFID-AP, 00:22:f7:21:d0:38,-91
5.45434E+13,4, eduroam, 1c:aa:07:b0:7a:b0,-77
5.45434E+13,4, sape, 20:c9:d0:18:43:f3,-82
5.45434E+13,4, tudelft-dastud, 1c:aa:07:6e:31:a2,-80
5.45434E+13,4, TUvisitor, 1c:aa:07:6e:31:a1,-80
5.45434E+13,4, TUDelft-Event, 1c:aa:07:6e:31:a3,-80
5.45434E+13,4, NaoNet3, 00:0c:f6:a6:3c:e8,-90
5.45434E+13,4, eduroam, 1c:aa:07:6e:31:a0,-79
5.45434E+13,4, eduroam, 1c:aa:07:7b:39:10,-73
5.45434E+13,4, tudelft-dastud, 1c:aa:07:7b:39:12,-78
5.45465E+13,4, SLDE-䋢-2, 5c:96:9d:65:76:8d,-82
5.45465E+13,4, autosound, 80:ea:96:eb:1e:fc,-68
5.45465E+13,4, hotspot_mike, 60:36:dd:cb:c1:4f,-68
5.45465E+13,4, TUDelft-Event, 1c:aa:07:7b:39:13,-83
5.45465E+13,4, TUDelft-Event, 1c:aa:07:b0:7a:b3,-73
5.45465E+13,4, RFID-AP, 00:22:f7:21:d0:38,-79
5.45465E+13,4, eduroam, 1c:aa:07:b0:7a:b0,-73
5.45465E+13,4, sape, 20:c9:d0:18:43:f3,-89
5.45465E+13,4, tudelft-dastud, 1c:aa:07:6e:31:a2,-80
5.45465E+13,4, TUvisitor, 1c:aa:07:6e:31:a1,-80
5.45465E+13,4, TUDelft-Event, 1c:aa:07:6e:31:a3,-80
5.45465E+13,4, NaoNet3, 00:0c:f6:a6:3c:e8,-95
5.45465E+13,4, eduroam, 1c:aa:07:6e:31:a0,-79
5.45465E+13,4, tudelft-dastud, 1c:aa:07:7b:39:12,-78
5.45465E+13,4, tudelft-dastud, 1c:aa:07:b0:7a:b2,-74
5.45465E+13,4, mfold-linksys, 00:25:9c:ca:87:ee,-92
5.45465E+13,4, mfold-dlink, 00:26:5a:a9:99:46,-94
5.45465E+13,4, TUvisitor, 1c:aa:07:b0:7a:b1,-73
5.45465E+13,4, my_shared_connection, 84:a6:c8:77:c4:c8,-87
5.45512E+13,4, SLDE-䋢-2, 5c:96:9d:65:76:8d,-78
5.45512E+13,4, autosound, 80:ea:96:eb:1e:fc,-64
5.45512E+13,4, hotspot_mike, 60:36:dd:cb:c1:4f,-61
5.45512E+13,4, TUDelft-Event, 1c:aa:07:7b:39:13,-73
5.45512E+13,4, TUDelft-Event, 1c:aa:07:b0:7a:b3,-79
5.45512E+13,4, RFID-AP, 00:22:f7:21:d0:38,-84
5.45512E+13,4, eduroam, 1c:aa:07:b0:7a:b0,-78
5.45512E+13,4, sape, 20:c9:d0:18:43:f3,-88
5.45512E+13,4, NaoNet3, 00:0c:f6:a6:3c:e8,-88
5.45512E+13,4, tudelft-dastud, 1c:aa:07:b0:7a:b2,-79
5.45512E+13,4, mfold-linksys, 00:25:9c:ca:87:ee,-92
5.45512E+13,4, mfold-dlink, 00:26:5a:a9:99:46,-94
5.45512E+13,4, TUvisitor, 1c:aa:07:b0:7a:b1,-78
5.45512E+13,4, my_shared_connection, 84:a6:c8:77:c4:c8,-91
5.45512E+13,4, TUDelft-Event, 24:01:c7:76:2a:33,-86
5.45547E+13,4, SLDE-䋢-2, 5c:96:9d:65:76:8d,-76
5.45547E+13,4, autosound, 80:ea:96:eb:1e:fc,-69
5.45547E+13,4, hotspot_mike, 60:36:dd:cb:c1:4f,-65
5.45547E+13,4, TUDelft-Event, 1c:aa:07:7b:39:13,-77
5.45547E+13,4, TUDelft-Event, 1c:aa:07:b0:7a:b3,-76
5.45547E+13,4, RFID-AP, 00:22:f7:21:d0:38,-81
5.45547E+13,4, eduroam, 1c:aa:07:b0:7a:b0,-74
5.45547E+13,4, sape, 20:c9:d0:18:43:f3,-88
5.45547E+13,4, NaoNet3, 00:0c:f6:a6:3c:e8,-84
5.45547E+13,4, tudelft-dastud, 1c:aa:07:b0:7a:b2,-75
5.45547E+13,4, mfold-linksys, 00:25:9c:ca:87:ee,-99
5.45547E+13,4, mfold-dlink, 00:26:5a:a9:99:46,-91
5.45547E+13,4, TUvisitor, 1c:aa:07:b0:7a:b1,-74
5.45547E+13,4, my_shared_connection, 84:a6:c8:77:c4:c8,-91
5.45547E+13,4, TUDelft-Event, 24:01:c7:76:2a:33,-86
5.45547E+13,4, tudelft-dastud, 1c:aa:07:6f:28:52,-88
5.45547E+13,4, Router_Joost, 48:f8:b3:40:f1:a9,-99
5.45577E+13,4, SLDE-䋢-2, 5c:96:9d:65:76:8d,-89
5.45577E+13,4, autosound, 80:ea:96:eb:1e:fc,-73
5.45577E+13,4, hotspot_mike, 60:36:dd:cb:c1:4f,-59
5.45577E+13,4, TUDelft-Event, 1c:aa:07:7b:39:13,-79
5.45577E+13,4, TUDelft-Event, 1c:aa:07:b0:7a:b3,-73
5.45577E+13,4, RFID-AP, 00:22:f7:21:d0:38,-80
5.45577E+13,4, eduroam, 1c:aa:07:b0:7a:b0,-74
5.45577E+13,4, sape, 20:c9:d0:18:43:f3,-90
5.45577E+13,4, NaoNet3, 00:0c:f6:a6:3c:e8,-82
5.45577E+13,4, tudelft-dastud, 1c:aa:07:b0:7a:b2,-75
5.45577E+13,4, mfold-linksys, 00:25:9c:ca:87:ee,-93
5.45577E+13,4, mfold-dlink, 00:26:5a:a9:99:46,-92
5.45577E+13,4, TUvisitor, 1c:aa:07:b0:7a:b1,-73
5.45577E+13,4, TUDelft-Event, 24:01:c7:76:2a:33,-89
5.45577E+13,4, tudelft-dastud, 1c:aa:07:6f:28:52,-88
5.45577E+13,4, Router_Joost, 48:f8:b3:40:f1:a9,-99
5.45577E+13,4, TUDelft-Event, 1c:aa:07:6e:31:a3,-77
5.45577E+13,4, tudelft-dastud, 1c:aa:07:7b:28:02,-85
