6448271144434, 8, sape, 20:c9:d0:18:43:f3, -67
6448271144434, 8, SLDE-™-2, 5c:96:9d:65:76:8d, -75
6448271144434, 8, Annibale's MacBook Pro, 34:36:3b:c5:5d:52, -57
6448271144434, 8, autosound, 80:ea:96:eb:1e:fc, -78
6448271144434, 8, TUvisitor, 1c:aa:07:b0:7a:b1, -51
6448271144434, 8, sape, 20:c9:d0:18:43:f4, -81
6448271144434, 8, C150BRS4, 00:22:f7:20:a1:98, -75
6448271144434, 8, RFID-AP, 00:22:f7:21:d0:38, -61
6448271144434, 8, tudelft-dastud, 1c:aa:07:b0:7a:b2, -51
6448271144434, 8, eduroam, 1c:aa:07:b0:7a:b0, -51
6448271144434, 8, hotspot_mike, 60:36:dd:cb:c1:4f, -74
6448271144434, 8, mfold-linksys, 00:25:9c:ca:87:ee, -71
6448271144434, 8, TUvisitor, 1c:aa:07:b0:80:c1, -73
6448271144434, 8, TRIBLER, e0:3f:49:09:d9:98, -80
6448271144434, 8, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -85
6448271144434, 8, mfold-dlink, 00:26:5a:a9:99:46, -67
6448271144434, 8, eduroam, 1c:aa:07:b0:7a:bf, -61
6448271144434, 8, tudelft-dastud, 1c:aa:07:b0:80:c2, -73
6448271144434, 8, eduroam, 1c:aa:07:b0:80:c0, -72
6448271144434, 8, eduroam, 1c:aa:07:b0:74:c0, -70
6448271144434, 8, eduroam, 1c:aa:07:6f:28:50, -74
6448271144434, 8, tudelft-dastud, 1c:aa:07:b0:74:cd, -83
6455044677395, 8, sape, 20:c9:d0:18:43:f3, -76
6455044677395, 8, SLDE-™-2, 5c:96:9d:65:76:8d, -74
6455044677395, 8, Annibale's MacBook Pro, 34:36:3b:c5:5d:52, -69
6455044677395, 8, autosound, 80:ea:96:eb:1e:fc, -76
6455044677395, 8, TUvisitor, 1c:aa:07:b0:7a:b1, -48
6455044677395, 8, sape, 20:c9:d0:18:43:f4, -77
6455044677395, 8, C150BRS4, 00:22:f7:20:a1:98, -75
6455044677395, 8, RFID-AP, 00:22:f7:21:d0:38, -67
6455044677395, 8, tudelft-dastud, 1c:aa:07:b0:7a:b2, -48
