@relation queue_data

@attribute Time numeric
@attribute X numeric
@attribute Y numeric
@attribute Z numeric
@attribute 'Slope X' numeric
@attribute 'Slope Y' numeric
@attribute 'Slope Z' numeric
@attribute 'Max X' numeric
@attribute 'Max Y' numeric
@attribute 'Max Z' numeric
@attribute 'Min X' numeric
@attribute 'Min Y' numeric
@attribute 'Min Z' numeric
@attribute 'Diff X' numeric
@attribute 'Diff Y' numeric
@attribute 'Diff Z' numeric
@attribute TruthValue numeric

@data
1430660000000,-3.351883,7.307104,6.033388,0.00166,0.001277,-0.001852,-3.102886,7.307104,6.311116,-3.552995,6.703765,5.861006,0.45011,0.603339,0.45011,0
1430660000000,-3.552995,6.703765,5.861006,0.001317,-0.001372,-0.00118,-3.093309,7.182605,6.311116,-3.552995,6.703765,5.861006,0.459687,0.47884,0.45011,0
1430660000000,-3.102886,7.115568,6.311116,0.002112,0.000024,0.000768,-2.260126,7.182605,6.311116,-3.102886,7.10599,6.004658,0.842759,0.076615,0.306458,0
1430660000000,-3.093309,7.182605,6.272809,0.002197,0.001003,-0.003081,-2.212242,7.182605,7.508216,-3.093309,6.780379,6.004658,0.881066,0.402226,1.503559,0
1430660000000,-2.260126,7.10599,6.004658,0.000238,0.000879,-0.005561,-2.212242,7.10599,8.24563,-2.355895,6.751649,6.004658,0.143652,0.354341,2.240972,0
1430660000000,-2.212242,6.780379,7.508216,0.001022,0.005394,0.001473,-1.80044,6.780379,8.24563,-2.355895,4.606444,6.914455,0.555455,2.173935,1.331176,0
1430660000000,-2.355895,6.751649,8.24563,0.00067,0.002801,0.001006,-1.80044,6.751649,8.24563,-2.355895,4.606444,6.914455,0.555455,2.145205,1.331176,0
1430660000000,-1.80044,4.606444,6.914455,0.000192,0.000215,-0.001963,-1.723825,5.631162,7.843405,-2.087744,4.520253,6.914455,0.363919,1.110909,0.928951,0
1430660000000,-2.087744,5.631162,7.843405,0.00164,-0.001303,-0.002075,-1.436521,6.14831,8.66701,-2.087744,4.520253,7.699753,0.651223,1.628057,0.967257,0
1430660000000,-1.723825,4.520253,7.699753,0.001785,0.000651,-0.00743,-1.015141,6.14831,10.649409,-1.723825,4.261679,7.699753,0.708684,1.886631,2.949656,0
1430660000000,-1.436521,6.14831,8.66701,0.005157,0.004064,0.002543,0.641646,6.14831,10.649409,-1.436521,4.261679,7.642292,2.078167,1.886631,3.007117,0
1430660000000,-1.015141,4.261679,10.649409,0.008811,0.001772,-0.00158,0.641646,4.510676,11.281479,-4.539406,3.552995,7.642292,5.181052,0.957681,3.639187,0
1430660000000,0.641646,4.510676,7.642292,0.001968,0.00312,-0.006409,0.641646,4.510676,11.281479,-4.539406,3.265691,7.642292,5.181052,1.244985,3.639187,0
1430660000000,-4.539406,3.552995,11.281479,0.020467,0.003773,0.003726,3.667917,3.552995,11.281479,-4.539406,2.03986,9.787497,8.207323,1.513135,1.493982,0
1430660000000,-0.143652,3.265691,10.199299,0.004896,0.002616,0.010417,3.667917,3.265691,10.199299,-0.143652,2.03986,6.042965,3.811569,1.225831,4.156334,0
1430660000000,3.667917,2.03986,9.787497,0.002203,-0.003735,0.003184,3.667917,3.533842,9.787497,1.810017,2.03986,6.042965,1.857901,1.493982,3.744532,0
1430660000000,1.810017,2.221819,6.042965,0.002412,-0.003105,-0.005994,2.786851,3.533842,8.513782,0.842759,2.221819,6.042965,1.944092,1.312022,2.470817,0
1430660000000,2.786851,3.533842,8.513782,0.006297,0.002875,-0.002258,2.786851,3.533842,9.423578,0.248997,2.375048,8.446744,2.537854,1.158793,0.976834,0
1430660000000,0.842759,3.466804,8.446744,0.00237,0.004836,-0.001844,1.790863,3.466804,9.423578,0.248997,1.532289,8.446744,1.541866,1.934515,0.976834,0
1430660000000,0.248997,2.375048,9.423578,0.004993,0.002123,-0.003667,2.231396,2.375048,10.879252,0.248997,1.532289,9.184157,1.982399,0.842759,1.695095,0
1430660000000,1.790863,1.532289,9.184157,0.000551,0.009481,-0.002131,2.231396,1.532289,10.879252,1.790863,-2.260126,9.184157,0.440533,3.792415,1.695095,0
1430660000000,2.231396,1.532289,10.879252,0.00407,0.007446,0.019656,3.859453,1.532289,10.879252,2.011129,-2.260126,3.016694,1.848324,3.792415,7.862558,0
1430660000000,2.011129,-2.260126,10.036493,0.013216,0.003974,0.008882,7.297527,-1.446098,10.036493,2.011129,-3.849876,3.016694,5.286398,2.403779,7.019799,0
1430660000000,3.859453,-1.446098,3.016694,0.010774,0.00395,0.003496,8.169016,-1.446098,6.483498,3.859453,-3.849876,1.61848,4.309563,2.403779,4.865018,0
1430660000000,7.297527,-3.849876,6.483498,0.014188,-0.000189,0.016103,13.043611,-3.026271,6.483498,7.297527,-3.849876,-0.038307,5.746084,0.823606,6.521805,0
1430660000000,8.169016,-3.026271,1.61848,0.022745,0.004669,0.007638,13.043611,-3.026271,1.61848,-0.92895,-4.893748,-1.436521,13.972561,1.867477,3.055001,0
1430660000000,13.043611,-3.773262,-0.038307,0.032004,0.014886,-0.01525,13.043611,-3.773262,5.985504,-0.92895,-9.653421,-1.436521,13.972561,5.880159,7.422025,0
1430660000000,-0.92895,-4.893748,-1.436521,0.001093,0.011953,-0.008246,0.402226,-4.893748,5.985504,-0.92895,-9.710882,-1.436521,1.331176,4.817134,7.422025,0
1430660000000,0.402226,-9.653421,5.985504,0.002945,0.004118,0.015658,0.402226,-9.653421,5.985504,-0.775721,-11.300632,-0.277727,1.177947,1.647211,6.263231,0
1430660000000,-0.488417,-9.710882,1.886631,0.00041,-0.003425,-0.000458,-0.325611,-8.350976,2.06859,-0.775721,-11.300632,-0.277727,0.45011,2.949656,2.346318,1
1430660000000,-0.775721,-11.300632,-0.277727,0.004776,-0.002532,0.000645,-0.325611,-8.350976,2.06859,-2.691083,-11.300632,-0.536301,2.365471,2.949656,2.604891,1
1430660000000,-0.325611,-8.350976,2.06859,0.003783,0.000407,0.003496,-0.325611,-8.350976,2.06859,-2.691083,-10.28549,-0.536301,2.365471,1.934514,2.604891,1
1430660000000,-2.691083,-10.28549,-0.536301,0.004248,-0.002136,-0.005784,-0.995988,-8.513782,1.771709,-2.691083,-10.28549,-0.536301,1.695095,1.771708,2.30801,1
1430660000000,-1.838747,-8.513782,0.670377,0.001901,0.001949,-0.002638,-0.995988,-8.513782,1.771709,-1.838747,-9.433155,0.670377,0.842759,0.919373,1.101333,1
1430660000000,-0.995988,-9.433155,1.771709,0.001652,0.000024,-0.000168,-0.995988,-9.299079,1.838747,-1.656788,-9.442732,1.733402,0.6608,0.143653,0.105345,1
1430660000000,-1.072602,-9.299079,1.733402,0.000048,0.000338,0.000989,-1.072602,-9.299079,1.838747,-1.656788,-9.442732,1.340753,0.584185,0.143653,0.497994,1
1430660000000,-1.656788,-9.442732,1.838747,0.003256,0.000862,0.00261,-0.354342,-9.433155,1.838747,-1.656788,-9.787497,0.794875,1.302446,0.354342,1.043872,1
1430660000000,-1.091756,-9.433155,1.340753,0.000047,0.000711,-0.000616,-0.354342,-9.433155,1.58975,-1.091756,-9.787497,0.794875,0.737414,0.354342,0.794875,1
1430660000000,-0.354342,-9.787497,0.794875,0.001891,-0.000407,-0.000982,-0.354342,-9.624691,1.58975,-1.11091,-9.787497,0.794875,0.756568,0.162806,0.794875,1
1430660000000,-1.072602,-9.720459,1.58975,0.001351,-0.000772,0,-1.072602,-9.414001,1.58975,-1.608904,-9.720459,1.187524,0.536301,0.306458,0.402226,1
1430660000000,-1.11091,-9.624691,1.187524,0.000478,0.000048,-0.000096,-0.919373,-9.414001,1.58975,-1.608904,-9.643845,1.187524,0.68953,0.229844,0.402226,1
1430660000000,-1.608904,-9.414001,1.58975,0.001096,0.000667,0.002192,-0.919373,-9.414001,1.58975,-1.608904,-9.682152,0.708684,0.68953,0.268151,0.881066,1
1430660000000,-0.919373,-9.643845,1.225831,0.000594,0.000452,0.002281,-0.919373,-9.643845,1.225831,-1.168371,-9.825804,0.306458,0.248997,0.181959,0.919373,1
1430660000000,-1.168371,-9.682152,0.708684,0.001576,-0.000764,-0.004585,-0.536301,-9.375694,2.547431,-1.168371,-9.825804,0.306458,0.632069,0.45011,2.240973,1
1430660000000,-1.158794,-9.825804,0.306458,0.005555,-0.000934,-0.001317,1.063026,-9.375694,2.547431,-1.158794,-9.825804,0.306458,2.221819,0.45011,2.240973,1
1430660000000,-0.536301,-9.375694,2.547431,0.001293,0.00091,0.004956,1.063026,-9.375694,2.547431,-0.536301,-9.739613,0.565032,1.599327,0.363919,1.982399,1
1430660000000,1.063026,-9.452309,0.833182,0.003224,0.00769,0.005636,2.355895,-9.452309,0.833182,-0.019154,-12.53604,-1.426944,2.375048,3.083731,2.260127,1
1430660000000,-0.019154,-9.739613,0.565032,0.004585,-0.002938,0.002436,2.355895,-8.561666,0.565032,-0.019154,-12.53604,-1.426944,2.375048,3.974374,1.991976,1
1430660000000,2.355895,-12.53604,-1.426944,0.008695,-0.017891,-0.003859,2.355895,-5.343858,0.124498,-1.13964,-12.53604,-1.426944,3.495535,7.192182,1.551443,1
1430660000000,1.819593,-8.561666,-0.411803,0.01541,0.008605,-0.000802,1.819593,-5.343858,0.124498,-4.252102,-11.951855,-0.411803,6.071696,6.607997,0.536301,1
1430660000000,-1.13964,-5.343858,0.124498,0.014462,0.014534,-0.003023,4.58729,-5.343858,1.321599,-4.252102,-11.951855,-0.095768,8.839393,6.607997,1.417367,1
1430660000000,-4.252102,-11.951855,-0.095768,0.013593,-0.006511,-0.005323,4.58729,-9.32781,2.049437,-4.252102,-11.951855,-0.095768,8.839393,2.624045,2.145205,1
1430660000000,4.58729,-11.099519,1.321599,0.008199,-0.004277,-0.004681,4.58729,-9.32781,3.20823,1.225831,-11.099519,1.321599,3.361459,1.771709,1.886631,1
1430660000000,1.225831,-9.32781,2.049437,0.008273,-0.005974,0.005097,1.283292,-6.914455,3.20823,-2.116474,-9.375694,-0.009577,3.399766,2.46124,3.217807,1
1430660000000,1.283292,-9.375694,3.20823,0.000242,-0.002691,0.009528,1.37906,-6.914455,3.20823,-2.116474,-9.375694,-0.555455,3.495535,2.46124,3.763685,1
1430660000000,-2.116474,-6.914455,-0.009577,0.007829,0.008595,0.005818,1.37906,-6.914455,-0.009577,-2.116474,-10.352529,-2.336741,3.495535,3.438075,2.327164,1
1430660000000,1.37906,-8.312668,-0.555455,0.002648,0.000426,-0.008394,2.451663,-8.312668,2.844312,1.015141,-10.352529,-2.336741,1.436521,2.039861,5.181053,1
1430660000000,1.015141,-10.352529,-2.336741,0.00386,-0.002075,-0.008684,2.451663,-8.485051,2.844312,-0.517148,-10.352529,-2.336741,2.96881,1.867478,5.181053,1
1430660000000,2.451663,-8.485051,2.844312,0.006401,0.003419,0.004631,2.451663,-8.485051,2.844312,-0.517148,-9.835381,1.015141,2.96881,1.35033,1.82917,1
1430660000000,-0.517148,-9.528923,1.11091,0.000525,0.000382,-0.000334,-0.076614,-9.528923,1.244985,-0.517148,-9.835381,1.015141,0.440533,0.306458,0.229843,1
1430660000000,-0.076614,-9.835381,1.015141,0.00072,-0.000672,-0.001128,-0.076614,-9.56723,1.465251,-0.363919,-9.835381,1.015141,0.287304,0.268151,0.45011,1
1430660000000,-0.306458,-9.682152,1.244985,0.000096,-0.00024,-0.000504,-0.306458,-9.56723,1.465251,-0.363919,-9.682152,1.244985,0.057461,0.114922,0.220267,1
1430660000000,-0.363919,-9.56723,1.465251,0.000309,-0.000071,-0.000285,-0.344765,-9.5385,1.580173,-0.488417,-9.586384,1.446098,0.143652,0.047884,0.134075,1
1430660000000,-0.344765,-9.586384,1.446098,0.000165,-0.000047,-0.000471,-0.344765,-9.5385,1.637634,-0.488417,-9.586384,1.446098,0.143652,0.047884,0.191536,1
1430660000000,-0.488417,-9.5385,1.580173,0.000322,0.000092,0.000115,-0.354342,-9.5385,1.637634,-0.488417,-9.576807,1.532289,0.134075,0.038307,0.105345,1
