Time,X,Y,Z,Slope X,Slope Y,Slope Z,Max X,Max Y,Max Z,Min X,Min Y,Min Z,Diff X,Diff Y,Diff Z,TruthValue
1.43E+12,-3.3518825,7.3071036,6.033388,0.00165998,0.001276906,-0.001851518,-3.1028855,7.3071036,6.3111157,-3.5529952,6.703765,5.861006,0.4501097,0.6033386,0.4501097,0
1.43E+12,-3.5529952,6.703765,5.861006,0.001317153,-0.001372035,-0.00117995,-3.0933087,7.1826053,6.3111157,-3.5529952,6.703765,5.861006,0.4596865,0.4788403,0.4501097,0
1.43E+12,-3.1028855,7.1155677,6.3111157,0.002112178,2.40E-05,0.000768065,-2.2601264,7.1826053,6.3111157,-3.1028855,7.1059904,6.0046577,0.8427591,0.0766149,0.306458,0
1.43E+12,-3.0933087,7.1826053,6.2728086,0.002197173,0.001003057,-0.003080817,-2.2122424,7.1826053,7.5082164,-3.0933087,6.7803793,6.0046577,0.8810663,0.402226,1.5035587,0
1.43E+12,-2.2601264,7.1059904,6.0046577,0.000237638,0.000879259,-0.005560725,-2.2122424,7.1059904,8.24563,-2.3558946,6.751649,6.0046577,0.1436522,0.3543414,2.2409723,0
1.43E+12,-2.2122424,6.7803793,7.5082164,0.001021843,0.00539438,0.001473355,-1.8004397,6.7803793,8.24563,-2.3558946,4.606444,6.9144545,0.5554549,2.1739353,1.3311755,0
1.43E+12,-2.3558946,6.751649,8.24563,0.000670377,0.002801218,0.001005563,-1.8004397,6.751649,8.24563,-2.3558946,4.606444,6.9144545,0.5554549,2.145205,1.3311755,0
1.43E+12,-1.8004397,4.606444,6.9144545,0.000191536,0.000215478,-0.001963246,-1.7238252,5.631162,7.843405,-2.087744,4.5202527,6.9144545,0.3639188,1.1109093,0.9289505,0
1.43E+12,-2.087744,5.631162,7.843405,0.00164036,-0.00130264,-0.002074572,-1.436521,6.14831,8.66701,-2.087744,4.5202527,7.699753,0.651223,1.6280573,0.967257,0
1.43E+12,-1.7238252,4.5202527,7.699753,0.001785097,0.000651319,-0.007429864,-1.0151415,6.14831,10.649409,-1.7238252,4.261679,7.699753,0.7086837,1.886631,2.949656,0
1.43E+12,-1.436521,6.14831,8.66701,0.005156742,0.004063608,0.002542725,0.641646,6.14831,10.649409,-1.436521,4.261679,7.642292,2.078167,1.886631,3.007117,0
1.43E+12,-1.0151415,4.261679,10.649409,0.008810662,0.00177171,-0.001580175,0.641646,4.510676,11.281479,-4.5394063,3.5529952,7.642292,5.1810523,0.9576808,3.639187,0
1.43E+12,0.641646,4.510676,7.642292,0.001968166,0.003120263,-0.006408539,0.641646,4.510676,11.281479,-4.5394063,3.265691,7.642292,5.1810523,1.244985,3.639187,0
1.43E+12,-4.5394063,3.5529952,11.281479,0.02046714,0.003773405,0.003725641,3.667917,3.5529952,11.281479,-4.5394063,2.0398598,9.787497,8.2073233,1.5131354,1.493982,0
